
23; 460.00; 0.05
48; 960.00; 0.05
63; 1260.00; 0.05
75; 1500.00; 0.05
81; 1620.00; 0.05
86; 1720.00; 0.05
91; 1820.00; 0.05
93; 1860.00; 0.05
96; 1920.00; 0.05
97; 1940.00; 0.05
100; 2000.00; 0.05
101; 2020.00; 0.05
101; 2020.00; 0.05
101; 2020.00; 0.05
102; 2040.00; 0.05
103; 2060.00; 0.05
103; 2060.00; 0.05
103; 2060.00; 0.05
103; 2060.00; 0.05
103; 1716.67; 0.06
106; 1766.67; 0.06
107; 1783.33; 0.06
110; 1833.33; 0.06
111; 1850.00; 0.06
111; 1850.00; 0.06
111; 1850.00; 0.06
112; 1866.67; 0.06
112; 1866.67; 0.06
113; 1883.33; 0.06
112; 1866.67; 0.06
112; 1866.67; 0.06
112; 1866.67; 0.06
112; 1866.67; 0.06
113; 1883.33; 0.06
113; 1883.33; 0.06
113; 1883.33; 0.06
113; 1883.33; 0.06
113; 1883.33; 0.06
113; 1883.33; 0.06
113; 1614.29; 0.07
116; 1657.14; 0.07
116; 1657.14; 0.07
118; 1685.71; 0.07
120; 1714.29; 0.07
121; 1728.57; 0.07
121; 1728.57; 0.07
120; 1714.29; 0.07
121; 1728.57; 0.07
121; 1728.57; 0.07
120; 1714.29; 0.07
122; 1742.86; 0.07
122; 1742.86; 0.07
122; 1742.86; 0.07
121; 1728.57; 0.07
122; 1742.86; 0.07
122; 1742.86; 0.07
122; 1742.86; 0.07
122; 1742.86; 0.07
122; 1742.86; 0.07
122; 1525.00; 0.08
126; 1575.00; 0.08
127; 1587.50; 0.08
127; 1587.50; 0.08
128; 1600.00; 0.08
128; 1600.00; 0.08
128; 1600.00; 0.08
130; 1625.00; 0.08
130; 1625.00; 0.08
130; 1625.00; 0.08
128; 1600.00; 0.08
131; 1637.50; 0.08
132; 1650.00; 0.08
131; 1637.50; 0.08
131; 1637.50; 0.08
131; 1637.50; 0.08
131; 1637.50; 0.08
131; 1637.50; 0.08
131; 1637.50; 0.08
132; 1650.00; 0.08
131; 1455.56; 0.09
135; 1500.00; 0.09
136; 1511.11; 0.09
137; 1522.22; 0.09
137; 1522.22; 0.09
137; 1522.22; 0.09
138; 1533.33; 0.09
138; 1533.33; 0.09
138; 1533.33; 0.09
137; 1522.22; 0.09
137; 1522.22; 0.09
138; 1533.33; 0.09
138; 1533.33; 0.09
138; 1533.33; 0.09
138; 1533.33; 0.09
138; 1533.33; 0.09
138; 1533.33; 0.09
138; 1533.33; 0.09
138; 1533.33; 0.09
138; 1533.33; 0.09
137; 1370.00; 0.10
141; 1410.00; 0.10
141; 1410.00; 0.10
143; 1430.00; 0.10
145; 1450.00; 0.10
145; 1450.00; 0.10
145; 1450.00; 0.10
145; 1450.00; 0.10
146; 1460.00; 0.10
146; 1460.00; 0.10
145; 1450.00; 0.10
146; 1460.00; 0.10
146; 1460.00; 0.10
146; 1460.00; 0.10
146; 1460.00; 0.10
147; 1470.00; 0.10
147; 1470.00; 0.10
147; 1470.00; 0.10
146; 1460.00; 0.10
146; 1460.00; 0.10
146; 1327.27; 0.11
150; 1363.64; 0.11
151; 1372.73; 0.11
151; 1372.73; 0.11
152; 1381.82; 0.11
152; 1381.82; 0.11
153; 1390.91; 0.11
152; 1381.82; 0.11
153; 1390.91; 0.11
153; 1390.91; 0.11
151; 1372.73; 0.11
155; 1409.09; 0.11
155; 1409.09; 0.11
153; 1390.91; 0.11
153; 1390.91; 0.11
155; 1409.09; 0.11
155; 1409.09; 0.11
155; 1409.09; 0.11
153; 1390.91; 0.11
153; 1390.91; 0.11
152; 1266.67; 0.12
156; 1300.00; 0.12
157; 1308.33; 0.12
158; 1316.67; 0.12
158; 1316.67; 0.12
160; 1333.33; 0.12
160; 1333.33; 0.12
160; 1333.33; 0.12
160; 1333.33; 0.12
161; 1341.67; 0.12
158; 1316.67; 0.12
160; 1333.33; 0.12
161; 1341.67; 0.12
161; 1341.67; 0.12
161; 1341.67; 0.12
160; 1333.33; 0.12
160; 1333.33; 0.12
160; 1333.33; 0.12
161; 1341.67; 0.12
160; 1333.33; 0.12
158; 1215.38; 0.13
162; 1246.15; 0.13
165; 1269.23; 0.13
165; 1269.23; 0.13
165; 1269.23; 0.13
166; 1276.92; 0.13
166; 1276.92; 0.13
166; 1276.92; 0.13
166; 1276.92; 0.13
167; 1284.62; 0.13
163; 1253.85; 0.13
167; 1284.62; 0.13
166; 1276.92; 0.13
167; 1284.62; 0.13
167; 1284.62; 0.13
166; 1276.92; 0.13
167; 1284.62; 0.13
166; 1276.92; 0.13
167; 1284.62; 0.13
167; 1284.62; 0.13
166; 1185.71; 0.14
170; 1214.29; 0.14
170; 1214.29; 0.14
172; 1228.57; 0.14
171; 1221.43; 0.14
172; 1228.57; 0.14
347; 2478.57; 0.14
173; 1235.71; 0.14
172; 1228.57; 0.14
173; 1235.71; 0.14
171; 1221.43; 0.14
173; 1235.71; 0.14
173; 1235.71; 0.14
173; 1235.71; 0.14
173; 1235.71; 0.14
173; 1235.71; 0.14
173; 1235.71; 0.14
173; 1235.71; 0.14
173; 1235.71; 0.14
173; 1235.71; 0.14
172; 1146.67; 0.15
176; 1173.33; 0.15
177; 1180.00; 0.15
178; 1186.67; 0.15
176; 1173.33; 0.15
178; 1186.67; 0.15
177; 1180.00; 0.15
176; 1173.33; 0.15
178; 1186.67; 0.15
177; 1180.00; 0.15
177; 1180.00; 0.15
178; 1186.67; 0.15
